Episode Number,English Title,Release Date,Color
044,"Setting off with a Smile! Farewell my Hometown, Cocoyashi Village!","October 11, 2000",#F2F2F2
045,Bounty! Straw Hat Luffy Becomes World Famous!,"October 25, 2000",#F2F2F2
046,Following the Straw Hat! Little Buggy's Big Adventure,"November 1, 2000",#F2F2F2
047,You've Been Waiting For It! The Return of Captain Buggy!,"November 8, 2000",#F2F2F2
048,The Town of the Beginning and the End - Arrival at Loguetown,"November 22, 2000",#F2F2F2
049,"Sandai Kitetsu and Yubashiri! Zoro's New Swords, and the Female Sergeant Major","November 22, 2000",#F2F2F2
050,Usopp vs. Daddy The Father! Showdown at High Noon!,"November 29, 2000",#CCFFFF
051,A Burning Culinary Battle? Sanji vs. The Gorgeous Chef,"December 6, 2000",#CCFFFF
052,Buggy's Revenge! The Man who Smiles at the Execution Platform!,"December 13, 2000",#F2F2F2
1,Adventure in the Ocean's Navel,"December 20, 2000",#FF9F80
053,The Legend Has Begun! Head to the Grand Line,"January 10, 2001",#F2F2F2
054,"Foreboding of a New Adventure! The Puzzling Girl, Apis","January 17, 2001",#CCFFFF
055,The Holy Beast! Apis' Secret and the Legendary Island,"January 24, 2001",#CCFFFF
056,Eric's Raid! Great Escape from Gunkan Island!,"January 31, 2001",#CCFFFF
057,Lone Island in a Distant Sea! The Legendary Lost Island,"February 7, 2001",#CCFFFF
058,Duel in the Ruins! Strained Zoro vs. Eric,"February 21, 2001",#CCFFFF
059,"Luffy, Completely Surrounded! Admiral Nelson's Secret Plan","February 21, 2001",#CCFFFF
060,Those Who Soar in the Open Skies! Revival of the 1000 Year Legend,"February 28, 2001",#CCFFFF
02,Clockwork Island Adventure,"March 3, 2001",#ABCDEF
1,Jango's Dance Carnival,"March 3, 2001",#FFCC99
061,Angry Finale! Cross the Red Line!,"March 7, 2001",#F2F2F2
062,The First Obstacle? Giant Whale Laboon Appears,"March 21, 2001",#F2F2F2
063,A Man's Promise! Luffy and the Whale Vow to Meet Again,"March 21, 2001",#F2F2F2
064,A Pirate-Loving Town? Arrival at Whisky Peak,"April 15, 2001",#F2F2F2
065,Exploding Santoryu! Zoro vs. Baroque Works!,"April 15, 2001",#F2F2F2
066,A Serious Fight! Luffy vs. Zoro: the Baffling Duel!,"April 22, 2001",#F2F2F2
067,Deliver Princess Vivi! Luffy Pirates Depart,"April 29, 2001",#F2F2F2
068,"Try Hard, Koby! Diary of Koby-Meppo's Marine Struggles","May 13, 2001",#F2F2F2
069,Koby-Meppo's Determination! Vice Admiral Garp's Fatherly Pride,"May 20, 2001",#F2F2F2
070,Prehistoric Island! The Shadow Lurking in Little Garden!,"May 27, 2001",#F2F2F2
071,Humongous Battle! The Giants Dorry and Brogy!,"June 3, 2001",#F2F2F2
072,Luffy's Anger! A Dirty Trick in a Sacred Battle,"June 17, 2001",#F2F2F2
073,Brogy Wails in Victory! Elbaph's Judgement,"June 24, 2001",#F2F2F2
074,The Devil's Candle! Tears of Regret and Tears of Anger,"July 15, 2001",#F2F2F2
075,Luffy Attacked by Magic! Colors Trap,"August 12, 2001",#F2F2F2
076,Critical Counterattack! Usopp's Quick Wit and Kaenboshi!,"August 19, 2001",#F2F2F2
077,Farewell to the Giants' Island! On to Arabasta,"August 19, 2001",#F2F2F2
078,Nami is Sick? Beyond the Snow that Falls on the Ocean!,"August 26, 2001",#F2F2F2
079,Ambush! The Bliking and Wapol the Blik,"September 2, 2001",#F2F2F2
080,A Doctorless Island? Adventure in the Country Without a Name!,"September 9, 2001",#F2F2F2
081,Ya Happy? The Doctor Who is Called a Witch!,"September 16, 2001",#F2F2F2
082,Dalton's Resolve! Wapol's Forces Land,"October 7, 2001",#F2F2F2
083,Island that Lives in Snow! Ascend The Drum Rockies!,"October 7, 2001",#F2F2F2
084,The Blue-Nosed Reindeer! Chopper's Secret,"October 21, 2001",#F2F2F2
085,Dream of the Outcasts! The Quack Doctor Hiriluk!,"October 28, 2001",#F2F2F2
086,Hiriluk's Cherry Blossoms and Inherited Will!,"November 4, 2001",#F2F2F2
087,Against Wapol's Army Corps! The Abilities of the Baku Baku no Mi!,"November 11, 2001",#F2F2F2
088,Zoan Type Devil's Fruit! Chopper's Seven-Level Transformation,"November 18, 2001",#F2F2F2
089,When the Kingdom's Rule is Over! The Flag of Conviction Lasts Forever,"November 25, 2001",#F2F2F2
090,Hiriluk's Cherry Blossoms! Miracle of the Drum Rockies,"December 2, 2001",#F2F2F2
091,"Farewell, Drum Island! I'm Going Out to Sea!","December 9, 2001",#F2F2F2
092,The Hero of Arabasta and the Ballerina on Deck,"December 9, 2001",#F2F2F2
093,Coming to the Desert Kingdom! The Rain-Calling Powder and the Rebel Army,"December 16, 2001",#CCFFFF
094,Reunion of the Powerful! His Name is Fire Fist Ace,"December 23, 2001",#F2F2F2
095,Ace and Luffy! Warm Memories and Brotherly Bonds,"January 6, 2002",#F2F2F2
096,"The Green City, Erumalu and the Kung Fu Dugongs!","January 13, 2002",#F2F2F2
097,Adventure in the Country of Sand! The Demons that Live in the Scorching Earth,"January 20, 2002",#F2F2F2
098,Here Come the Desert Pirates! The Men Who Live Free,"January 27, 2002",#CCFFFF
099,"Spirit of the Fakes! Heart of the Rebel Army, Kamyu!","February 3, 2002",#CCFFFF
100,Rebel Warrior Koza! The Dream Sworn to Vivi!,"February 10, 2002",#F2F2F2
101,Heat Haze Duel! Ace vs. Scorpion Man,"February 17, 2002",#CCFFFF
102,"Ruins and Lost Ways! Vivi, Her Friends, and the Country's Form","February 24, 2002",#CCFFFF
03,Chopper's Kingdom on the Island of Strange Animals,"March 2, 2002",#ABCDEF
2,Dream Soccer King,"March 2, 2002",#FFCC99
103,At Spiders Cafe - The Enemy Ringleaders Meet at 8 o'clock,"March 3, 2002",#F2F2F2
104,Luffy vs. Vivi! A Tearful Vow for Comrades,"March 10, 2002",#F2F2F2
105,"The Arabasta War Front! City of Dreams, Rainbase","March 17, 2002",#F2F2F2
106,Trap in a Desperate Situation! Breaking Into Rain Dinners,"March 24, 2002",#F2F2F2
107,Operation Utopia Commences! The Wave of Rebellion Begins to Move,"April 14, 2002",#F2F2F2
108,The Fearsome Bananawani and Mr. Prince,"April 21, 2002",#F2F2F2
109,The Key to Turning the Tide and a Great Escape! Doru Doru Ball!,"April 28, 2002",#F2F2F2
110,Merciless Fight to the Death! Luffy vs. Crocodile,"May 5, 2002",#F2F2F2
111,The Miracle Sprint! Arabasta the Animal Land,"May 12, 2002",#F2F2F2
112,Rebel Army vs. Royal Army! The Battle will be in Alubarna!,"May 19, 2002",#F2F2F2
113,Alubarna is Crying! Fierce Fight of Captain Karoo!,"June 2, 2002",#F2F2F2
114,Swear on Your Crewmate's Dream! Battle at Molehill 4th Avenue,"June 9, 2002",#F2F2F2
115,Today's Grand Performance! Mane Mane Montage!,"June 16, 2002",#F2F2F2
116,Transforming Into Nami! Bon Kurei's Hard-Hitting Ballet Kenpo,"June 23, 2002",#F2F2F2
117,Nami's Whirlwind Warning! Clima-Tact Explosion,"June 30, 2002",#F2F2F2
118,"Secret of the Royal Family! The Ancient Weapon, Pluton","July 14, 2002",#F2F2F2
119,Essence of a Mighty Sword! The Power to Cut Steel and the Breath of All Things,"July 21, 2002",#F2F2F2
120,The Battle is Over! Koza Flies the White Flag,"August 4, 2002",#F2F2F2
121,Vivi's Voice Goes Unheard! A Hero Descends!,"August 11, 2002",#F2F2F2
122,Sand Crocodile and Water Luffy! Death Match: Round 2,"August 18, 2002",#F2F2F2
123,"Smells Like Croc! Run to the Tomb of the Royal Family, Luffy!","August 25, 2002",#F2F2F2
124,The Nightmare Draws Near! Secret Base of the Suna Suna Clan,"September 1, 2002",#F2F2F2
125,"Magnificent Wings! My Name is Pell, Guardian Spirit of the Kingdom","September 8, 2002",#F2F2F2
126,I Will Surpass You! Rain Falls on Arabasta!,"September 15, 2002",#F2F2F2
127,A Farewell to Arms! Pirates and a Little Justice,"October 6, 2002",#F2F2F2
128,The Pirates' Banquet and Operation Escape Arabasta!,"October 6, 2002",#F2F2F2
129,Everything Began That Day! Vivi Tells of Her Adventures!,"October 20, 2002",#F2F2F2
130,Beware Her Scent! The Seventh One is Nico Robin!,"October 27, 2002",#F2F2F2
131,The First Patient! Anecdote of the Rumble Ball,"November 3, 2002",#CCFFFF
132,The Navigator's Mutiny! For an Unwavering Dream!,"November 10, 2002",#CCFFFF
133,Inherited Recipe! Sanji the Curry Iron Chef,"November 17, 2002",#CCFFFF
134,I'll Make it Bloom! Manly Usopp's Eight-Shaku Ball,"November 24, 2002",#CCFFFF
135,"Infamous Pirate Hunter! The Wandering Swordsman, Zoro!","December 1, 2002",#CCFFFF
136,Zenny of Goat Island and the Pirate Ship in the Mountains!,"December 8, 2002",#CCFFFF
137,How's That for Profit? Money Lender Zenny's Ambition!,"December 15, 2002",#CCFFFF
138,Where the Island's Treasure Lies! Zenny Pirates Full Charge!,"December 22, 2002",#CCFFFF
139,Legend of the Rainbow Mist! Ruluka Island and the Old Man Henzo,"January 5, 2003",#CCFFFF
140,Inhabitants of Neverland! The Pumpkin Pirates!,"January 12, 2003",#CCFFFF
141,A Longing for Home! The Inescapable Pirate Graveyard!,"January 19, 2003",#CCFFFF
142,Frantic Struggle! Wetton's Plans and the Rainbow Tower!,"January 26, 2003",#CCFFFF
143,And Then the Legend Begins! To the End of the Rainbow!,"February 2, 2003",#CCFFFF
144,"The Log is Taken! Salvage King, Masira!","February 9, 2003",#F2F2F2
145,Monsters Appear! Don't Touch the Whitebeard Pirates,"February 16, 2003",#F2F2F2
146,"Stop Dreaming! The City of Ridicule, Mock Town!","February 23, 2003",#F2F2F2
04,Dead End Adventure,"March 1, 2003",#ABCDEF
147,The Pirate's Summit! The Man Who Talks of Dreams and the King of Underwater Exploration,"March 9, 2003",#F2F2F2
148,The Legendary Family! 'Liar Noland',"March 16, 2003",#F2F2F2
149,Hard Turn to the Clouds! Find the Southbird!,"March 23, 2003",#F2F2F2
02,"Open Upon the Great Sea! A Father's Huge, HUGE Dream!","April 6, 2003",#FF9F80
150,Dreams Don't Come True!? Bellamy vs. The Saruyama Alliance,"April 13, 2003",#F2F2F2
151,"The 100,000,000 Man!
The World's Highest Authority and the Pirate Blackbeard","April 20, 2003",#F2F2F2
152,Sail into the Sky! Ride the Knock-Up Stream,"April 27, 2003",#F2F2F2
153,This is the Sea of the Sky! The Knight of the Sky and Heaven's Gate,"May 4, 2003",#F2F2F2
154,Godland Skypiea! The Angels of the Cloud Beach,"May 11, 2003",#F2F2F2
155,Sacred Ground! The Island Where God Resides and Heaven's Judgement!,"May 18, 2003",#F2F2F2
156,Criminals Already!? Skypiea's Upholders of the Law,"June 8, 2003",#F2F2F2
157,Can we Escape!? God's Ordeals are Set in Motion!,"June 15, 2003",#F2F2F2
158,Trap on Lovely Street! Almighty God Enel,"June 22, 2003",#F2F2F2
159,"Go Forth, Little Crow! To the Sacrificial Altar","July 6, 2003",#F2F2F2
160,Survival Rate: 10%! Priest Satori with the Power of Mantra!,"July 13, 2003",#F2F2F2
161,Peril of the Ordeal of Balls! Fight to the Death in the Lost Forest,"July 20, 2003",#F2F2F2
162,Chopper's in Danger! Former God vs. Priest Shura,"August 3, 2003",#F2F2F2
163,Ever Mysterious! Ordeal of String and Ordeal of Love!?,"August 10, 2003",#F2F2F2
164,Light the Fire of Shandia! Wyper the Warrior,"August 17, 2003",#F2F2F2
165,"Floating Land of Gold, Jaya! To God's Shrine!","August 24, 2003",#F2F2F2
166,Eve of Gold Festival! Feelings Toward 'Vearth'!,"September 7, 2003",#F2F2F2
167,God Enel Appears!! Aubade to the Survivors,"September 21, 2003",#F2F2F2
168,The Python Strikes! The Survival Game Begins,"October 12, 2003",#F2F2F2
169,The Life-Threatening Reject! War Demon Wyper's Resolve,"October 19, 2003",#F2F2F2
170,Fierce Sky Battle! Pirate Zoro vs. Fighter Braham,"October 19, 2003",#F2F2F2
171,Howling Burn Bazooka!! Luffy vs. War Demon Wyper,"October 26, 2003",#F2F2F2
172,Ordeal of Swamp! Chopper vs. Priest Gedatsu!!,"November 2, 2003",#F2F2F2
173,The Invincible Ability! Enel's True Nature Revealed,"November 9, 2003",#F2F2F2
174,The Vanished City! The Magnificent Ruins of Shandora!!,"November 16, 2003",#F2F2F2
3,Protect! The Last Great Performance,"December 14, 2003",#FF9F80
175,Chance of Survival: 0%!! Chopper vs. Priest Ohm,"December 21, 2003",#F2F2F2
176,Climb Giant Jack!! Showdown in the Upper Ruins,"January 11, 2004",#F2F2F2
177,Ultimate Test of the Ordeal of Iron! The White-Barbed Death Match!!,"January 18, 2004",#F2F2F2
178,Gushing Blade Attack! Zoro vs. Priest Ohm!!,"January 25, 2004",#F2F2F2
179,The Upper Ruins Crumble! The Quintet Finale!!,"February 1, 2004",#F2F2F2
180,Battle in the Ancient Ruins! God Enel's Desire!!,"February 8, 2004",#F2F2F2
181,"Ambitions of Fairy Vearth - The Ark, Maxim!!","February 15, 2004",#F2F2F2
182,Finally Clashing! Pirate Luffy vs. God Enel!!,"February 22, 2004",#F2F2F2
183,Maxim Rises! The Start of Deathpiea!!,"February 29, 2004",#F2F2F2
05,The Cursed Holy Sword,"March 6, 2004",#ABCDEF
3,Take Aim! The Pirate Baseball King,"March 6, 2004",#FFCC99
184,Luffy's Fall! God's Judgement and Nami's Desire!!,"March 7, 2004",#F2F2F2
185,Two People Awaken! A Rescue in Front of Burning Love!!,"March 14, 2004",#F2F2F2
186,Capriccio to Destruction! The Impending Doom of Sky Island!!,"March 21, 2004",#F2F2F2
187,Guidance from the Sound of a Bell! The Great Warrior and Tales of an Explorer,"March 28, 2004",#F2F2F2
188,Released from Disgrace! The Tears of the Great Warrior!!,"March 28, 2004",#F2F2F2
189,Eternal Friendship! The Bell of Oath Echoes Throughout the Giant Ocean!!,"April 4, 2004",#F2F2F2
190,The Destruction of Angel Island! Terror of the Descending Raigo!!,"April 25, 2004",#F2F2F2
191,Chop Down Giant Jack! The Last Hope of Escaping,"May 2, 2004",#F2F2F2
192,The Miracle in God's Country! A Love Song Heard by Angels,"May 9, 2004",#F2F2F2
193,"The War Draws to a Close! Ringing Far and Wide, the Proud Fantasia","May 23, 2004",#F2F2F2
194,I Have Come Here! The Weaving of the Poneglyphs,"June 6, 2004",#F2F2F2
195,Now Heading Towards the Blue Sea!! Memories of an Interwoven Finale,"June 13, 2004",#F2F2F2
196,Emergency Official Announcement! Notorious Pirate Ship Infiltration!,"June 20, 2004",#CCFFFF
197,Sanji the Cook! Showing His Real Worth at the Marine Dining-room!,"July 4, 2004",#CCFFFF
198,Zoro's Imprisonment and Chopper's Emergency Operation!,"July 11, 2004",#CCFFFF
199,The Search of the Approaching Marines! The Second Person Who Was Captured!,"July 18, 2004",#CCFFFF
200,Luffy and Sanji's Desperate Decision! Large Rescue Maneuvers!,"August 8, 2004",#CCFFFF
201,Hot Blood Special Unit Participation! Bridge Offensive and Defensive Battle!,"September 5, 2004",#CCFFFF
202,Breaking Through the Siege! The Going Merry is Recovered,"September 12, 2004",#CCFFFF
203,The Missing Pirate Ship! 2nd Round Assault on the Fortress,"September 19, 2004",#CCFFFF
204,The Gold Recovery Plan and the Waver Recovery Plan!,"October 3, 2004",#CCFFFF
205,Catch Them All in One Net! Jonathan's Secret Scheme!,"October 3, 2004",#CCFFFF
206,"So Long, Marine Base! The Final Battle for Freedom","October 10, 2004",#CCFFFF
207,Big Adventure in Long Ring Long Land,"October 31, 2004",#F2F2F2
208,The Foxy Pirate Crew and the Davy Back!,"November 7, 2004",#F2F2F2
209,Round 1! One Lap of the Donut Race,"November 14, 2004",#F2F2F2
210,Foxy the Silver Fox! A Violent Interference,"November 21, 2004",#F2F2F2
211,Round 2! Shoot into the Groggy Ring!,"November 28, 2004",#F2F2F2
212,Rapid-Fire Red Cards! Groggy Ring,"December 5, 2004",#F2F2F2
213,Round 3! Round and Round Roller Race!,"December 12, 2004",#CCFFFF
214,Burning Roller Race! Dash into the Final Round!,"December 19, 2004",#CCFFFF
215,The Screaming Speed Serve! Pirate Dodgeball!,"January 9, 2005",#CCFFFF
216,Final Match on the Edge! Dharma has Fallen!,"January 9, 2005",#CCFFFF
217,Captain Confrontation! The Last Fight: Combat!,"January 16, 2005",#F2F2F2
218,Full Power Noro Noro Beam vs. The Invulnerable Luffy,"January 23, 2005",#F2F2F2
219,Heroic Fierce Combat! The Fateful Last Battle,"January 30, 2005",#F2F2F2
220,You Lost Your Memory? It Was Taken? Who Are You?,"February 6, 2005",#CCFFFF
221,The Mysterious Boy With the Whistle and Robin's Guess!,"February 13, 2005",#CCFFFF
222,Get Back Your Memories! Landing on the Island!,"February 20, 2005",#CCFFFF
223,Zoro Sharpens His Fangs! A Fight With a Wild Beast!,"February 27, 2005",#CCFFFF
06,Baron Omatsuri and the Secret Island,"March 5, 2005",#ABCDEF
224,The Memory Thief's Final Counterattack Shows His True Nature!,"March 6, 2005",#CCFFFF
225,The Man of Pride! Foxy the Silver Fox,"March 13, 2005",#CCFFFF
226,The Nigh Invincible Man? And a Very Dangerous Man!,"March 20, 2005",#CCFFFF
227,Marine High Admiral Aokiji! The Threat of the Greatest Power,"March 27, 2005",#F2F2F2
228,Rubber and Ice One-On-One Fight! Luffy vs. Aokiji!,"March 27, 2005",#F2F2F2
229,"Running Sea Train! The City of Water, Water 7","April 17, 2005",#F2F2F2
230,The Adventure in the City of Water! Aim for the Giant Shipyard,"April 24, 2005",#F2F2F2
231,The Franky Family and Iceburg!,"May 1, 2005",#F2F2F2
232,Galley-La Company! The Magnificent Dock #1,"May 15, 2005",#F2F2F2
233,The Pirate Kidnapping Incident and the Pirate Ship Waits for Death!,"May 22, 2005",#F2F2F2
234,Rescuing a Crewmate! The Raid on the Franky House,"June 5, 2005",#F2F2F2
235,Quarrel in the Moonlight! The Pirate Ship Trembles in Sadness,"June 12, 2005",#F2F2F2
236,Luffy vs. Usopp! The Spirit of the Clashing Men,"June 19, 2005",#F2F2F2
237,The City of Water is Shaking! Iceburg was Targeted!,"July 3, 2005",#F2F2F2
238,Rubberman vs. Fire-Breathing Cyborg,"July 10, 2005",#F2F2F2
239,The Criminals are the Straw Hat Pirates? The Bodyguards of Water 7,"July 31, 2005",#F2F2F2
240,"An Eternal Farewell? Nico Robin, The Woman Who Bears Darkness","August 7, 2005",#F2F2F2
241,Catch Robin! The Determination of the Straw Hat Pirates,"August 14, 2005",#F2F2F2
242,The Signal is the Explosion! CP9 Starts to Move,"August 21, 2005",#F2F2F2
243,CP9 Unmasked! Their Shocking True Faces,"September 4, 2005",#F2F2F2
244,The Secret Bond! Franky and Iceburg,"September 11, 2005",#F2F2F2
245,"Come Back, Robin! The Confrontation with CP9","September 18, 2005",#F2F2F2
246,Destruction of the Straw Hat Pirates? The Terror of the Model Leopard!,"October 23, 2005",#F2F2F2
247,The Man who is Loved by his Ship! Usopp's Tears!,"October 30, 2005",#F2F2F2
248,Franky's Past! The Day the Sea Train Ran,"November 6, 2005",#F2F2F2
249,Spandam's Conspiracy! The Day the Sea Train Shook,"November 13, 2005",#F2F2F2
250,The End of the Legendary Man! The Day the Sea Train Cried,"November 27, 2005",#F2F2F2
251,The Truth Behind the Betrayal! Robin's Sorrowful Decision!,"November 27, 2005",#F2F2F2
252,The Steam Whistle Separates the Crew! The Sea Train Begins to Run,"December 4, 2005",#F2F2F2
253,Sanji Breaks In! The Sea Train Battle in the Storm!,"December 11, 2005",#F2F2F2
4,The Detective Memoirs of Chief Straw Hat Luffy,"December 18, 2005",#FF9F80
-,New Year Special: Special Report - Secret of the Straw Hat Pirates!,"January 3, 2006",#FF9F80
254,The Shout of Nami's Soul! The Return of the Straw Hat!,"January 22, 2006",#F2F2F2
255,Another Sea Train! Rocket Man Sortie,"January 29, 2006",#F2F2F2
256,Rescue our Friends! The Oath that Links the Enemies,"February 5, 2006",#F2F2F2
257,"Smash the Wave! Luffy and Zoro, The Strongest Combo!","February 26, 2006",#F2F2F2
07,The Giant Mechanical Soldier of Karakuri Castle,"March 4, 2006",#ABCDEF
258,A Man of Mystery Appears!? His Name is Sogeking!,"March 5, 2006",#F2F2F2
259,Cook Confrontation! Sanji vs. Ramen Kenpo,"March 12, 2006",#F2F2F2
260,Duel on the Roof! Franky vs. Nero!,"March 19, 2006",#F2F2F2
261,Crash! Demon-Cutting Zoro vs. Ship-Cutting T-Bone!,"April 2, 2006",#F2F2F2
262,Robin Struggles! Sogeking's Clever Scheme!!,"April 16, 2006",#F2F2F2
263,The Judiciary Island! The Full Picture of Enies Lobby!,"April 30, 2006",#F2F2F2
264,Operation Disembarkation Commences! The Straw Hat Crew Rushes In!,"May 21, 2006",#F2F2F2
265,Luffy Charges In! Great Decisive Battle on the Judiciary Island!!,"June 4, 2006",#F2F2F2
266,Battle with the Giants! Open the Second Door!,"June 11, 2006",#F2F2F2
267,"The Means of Escaping is Opened! Fly through the Sky, Rocketman!","June 18, 2006",#F2F2F2
268,Catch Up with Luffy! The Straw Hat Pirates' All-Out War,"June 25, 2006",#F2F2F2
269,Robin was Betrayed! The Expectations of the World Government!,"June 25, 2006",#F2F2F2
270,Give Robin Back! Luffy vs. Blueno!,"July 2, 2006",#F2F2F2
271,Don't Stop! Raise the Signal Fire of a Counterattack!,"July 9, 2006",#F2F2F2
272,Luffy is in Sight! Gather at the Courthouse Plaza,"July 23, 2006",#F2F2F2
273,All for the Sake of Protecting My Friends! Gear Second in Motion,"July 30, 2006",#F2F2F2
274,"Answer Us, Robin! The Outcries of the Straw Hat Crew!!","August 6, 2006",#F2F2F2
275,Robin's Past! The Girl who was Called a Demon!,"August 13, 2006",#F2F2F2
276,The Fated Parent and Child! The Mother's Name is Olvia!,"September 10, 2006",#F2F2F2
277,Tragedy of Ohara! Fear of Buster Call!,"September 24, 2006",#F2F2F2
278,Say You Want to Live! We are Friends!!,"September 24, 2006",#F2F2F2
279,Jump Into the Falls! Luffy's Feelings!!,"October 1, 2006",#80FF80
280,"A Man's Way of Life! Zoro's Techniques, Usopp's Dream","October 8, 2006",#80FF80
281,Tears Which Weaved the Bond of Friendship! Nami's World Map,"October 15, 2006",#80FF80
282,Separation Refines a Man! Sanji and Chopper,"October 22, 2006",#80FF80
283,All for my Friends' Sake! The Darkness Within Robin!,"October 29, 2006",#80FF80
284,The Blueprints Aren't Passed! Franky's Decision,"November 5, 2006",#F2F2F2
285,Retrieve the 5 Keys! The Straw Hat Crew vs. CP9,"November 12, 2006",#F2F2F2
286,Power of the Devil Fruit! Kaku and Jabra Transform,"November 19, 2006",#F2F2F2
287,"Even if I Die, I Won't Kick you! Sanji's Manly Chivalry","November 26, 2006",#F2F2F2
288,The Silent Owl's Miscalculation! My Cola is the Water of Life,"December 3, 2006",#F2F2F2
289,Zoro's New Technique Explodes! The Katana's Name is Sogeking?,"December 10, 2006",#F2F2F2
290,Uncontrollable! Chopper's Forbidden Rumble,"December 17, 2006",#F2F2F2
291,Boss Luffy Returns! A Dream or Reality Lottery Trouble,"December 24, 2006",#FFFF79
292,The Great Mochimaki Race to the Castle! Conspiracy of the Red Nose,"January 7, 2007",#FFFF79
293,Bubble User Kalifa! Nami Draws Near to the Soap's Trap,"January 14, 2007",#F2F2F2
294,The Resounding Bad News! The Buster Call is Invoked,"January 21, 2007",#F2F2F2
295,5 Namis? Counterattack with the Mirage!,"January 28, 2007",#F2F2F2
296,Nami's Determination! Shoot the Rampaging Chopper!,"February 4, 2007",#F2F2F2
297,Hunter Sanji Appears? Elegy to the Lying Wolf,"February 11, 2007",#F2F2F2
298,The Scorching Kick! Full Course of Sanji's Footwork,"February 25, 2007",#F2F2F2
